,restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords
1011683,g189167-d1492594,Il Basilico,"[""Europe"", ""Portugal"", ""Madeira Islands"", ""Madeira"", ""Funchal""]",Portugal,Madeira Islands,Madeira,Funchal,"Rua Leichlingen 7, Funchal, Madeira 9004-566 Portugal",32.63674,-16.933607,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014, Certificate of Excellence 2013, Certificate of Excellence 2012, Certificate of Excellence 2011",#128 of 644 Restaurants in Funchal,#141 of 771 places to eat in Funchal,"Mid-range, Italian, Pizza, Mediterranean",€€-€€€,€15-€35,"Lunch, Dinner","Italian, Pizza, Mediterranean, European","Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Outdoor Seating, Seating, Parking Available, Street Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Free Wifi, Reservations, Full Bar, Accepts Credit Cards, Table Service, Live Music",Y,Y,Y,"{""Mon"": [""12:30-15:00"", ""18:30-22:00""], ""Tue"": [""12:30-15:00"", ""18:30-22:00""], ""Wed"": [""12:30-15:00"", ""18:30-22:00""], ""Thu"": [""12:30-15:00"", ""18:30-22:00""], ""Fri"": [""12:30-15:00"", ""18:30-22:00""], ""Sat"": [""12:30-15:00"", ""18:30-22:00""], ""Sun"": [""12:30-15:00"", ""18:30-22:00""]}",7.0,42.0,14.0,4.0,1950.0,English,1312.0,674.0,418.0,144.0,57.0,19.0,4.5,4.5,4.0,4.0,"pizza, risotto, tiramisu, sea bass, salad"
1011686,g189167-d1499241,Doca do Cavacas,"[""Europe"", ""Portugal"", ""Madeira Islands"", ""Madeira"", ""Funchal""]",Portugal,Madeira Islands,Madeira,Funchal,"Rua Ponta da Cruz 66, Funchal, Madeira 9000-103 Portugal",32.63607,-16.94763,Unclaimed,"Certificate of Excellence 2015, Certificate of Excellence 2014, Certificate of Excellence 2013, Certificate of Excellence 2012",#194 of 644 Restaurants in Funchal,#212 of 771 places to eat in Funchal,"Mid-range, Bar, Mediterranean, Portuguese",€€-€€€,€5-€15,"Lunch, Dinner, After-hours","Bar, Mediterranean, Portuguese",Gluten Free Options,"Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service, Waterfront",N,N,Y,"{""Mon"": [], ""Tue"": [""10:30-00:00""], ""Wed"": [""10:30-00:00""], ""Thu"": [""10:30-00:00""], ""Fri"": [""10:30-00:00""], ""Sat"": [""10:30-00:00""], ""Sun"": [""10:30-00:00""]}",6.0,81.0,6.0,4.0,861.0,English,431.0,193.0,135.0,54.0,30.0,19.0,4.0,4.0,4.0,4.0,"seafood, prawns, mixed skewers, gambas, red snapper"
1011690,g189167-d1513920,O Chefe Steakhouse and Sea Basket,"[""Europe"", ""Portugal"", ""Madeira Islands"", ""Madeira"", ""Funchal""]",Portugal,Madeira Islands,Madeira,Funchal,"Rua Gorgulho Centro Comercial Eden Mar Lj 3, Funchal, Madeira 9000-107 Portugal",32.637028,-16.93173,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014, Certificate of Excellence 2013, Certificate of Excellence 2012",#47 of 644 Restaurants in Funchal,#52 of 771 places to eat in Funchal,"Mid-range, Seafood, International, Mediterranean",€€-€€€,€3-€20,Dinner,"Seafood, Mediterranean, European, Portuguese, International","Vegetarian Friendly, Gluten Free Options","Reservations, Outdoor Seating, Seating, Parking Available, Highchairs Available, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",Y,N,Y,"{""Mon"": [], ""Tue"": [""18:00-22:00""], ""Wed"": [""18:00-22:00""], ""Thu"": [""18:00-22:00""], ""Fri"": [""18:00-22:00""], ""Sat"": [""18:00-22:00""], ""Sun"": [""18:00-22:00""]}",6.0,24.0,6.0,4.5,945.0,English,760.0,552.0,150.0,42.0,9.0,7.0,4.5,4.5,4.5,4.0,"steak, homemade chocolate cake, prawns, salmon, salad"
1011710,g189167-d1534427,Moynihans Irish Bar,"[""Europe"", ""Portugal"", ""Madeira Islands"", ""Madeira"", ""Funchal""]",Portugal,Madeira Islands,Madeira,Funchal,"Rua Imperatriz Dona Amelia n 101, Funchal, Madeira 9000-018 Portugal",32.64314,-16.919436,Claimed,"Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2013",#161 of 644 Restaurants in Funchal,#177 of 771 places to eat in Funchal,"Mid-range, Irish, Bar, European",€€-€€€,€4-€15,"Lunch, Dinner, Brunch, Drinks","Irish, Bar, European, British, Pub",Vegetarian Friendly,"Takeout, Outdoor Seating, Seating, Parking Available, Street Parking, Television, Highchairs Available, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Full Bar, Accepts Credit Cards, Table Service, Live Music",Y,N,N,"{""Mon"": [""11:00-00:00""], ""Tue"": [""11:00-00:00""], ""Wed"": [""11:00-00:00""], ""Thu"": [""11:00-00:00""], ""Fri"": [""11:00-00:00""], ""Sat"": [""11:00-00:00""], ""Sun"": [""11:00-00:00""]}",7.0,91.0,7.0,4.0,905.0,English,847.0,377.0,301.0,91.0,49.0,29.0,4.0,4.5,4.5,4.5,"fish and chips, sunday roast, toasties, steak, chicken"
1011712,g189167-d1537408,Casa Velha Restaurant,"[""Europe"", ""Portugal"", ""Madeira Islands"", ""Madeira"", ""Funchal""]",Portugal,Madeira Islands,Madeira,Funchal,"Rua Imperatriz Dona Amelia 69, Funchal, Madeira 9000-018 Portugal",32.643993,-16.917837,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014, Certificate of Excellence 2013, Certificate of Excellence 2012",#95 of 644 Restaurants in Funchal,#102 of 771 places to eat in Funchal,"Mid-range, Mediterranean, European, Portuguese",€€-€€€,€25-€32,"Lunch, Dinner, After-hours","Mediterranean, European, Portuguese","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",Y,Y,Y,"{""Mon"": [""12:00-15:00"", ""18:00-23:00""], ""Tue"": [""12:00-15:00"", ""18:00-23:00""], ""Wed"": [""12:00-15:00"", ""18:00-23:00""], ""Thu"": [""12:00-15:00"", ""18:00-23:00""], ""Fri"": [""12:00-15:00"", ""18:00-23:00""], ""Sat"": [""12:00-15:00"", ""18:00-23:00""], ""Sun"": [""12:00-15:00"", ""18:00-23:00""]}",7.0,56.0,14.0,4.5,964.0,English,612.0,359.0,176.0,47.0,21.0,9.0,4.5,4.5,4.0,4.5,"terrine, steak diane, lobster, chateaubriand, lamb"
1011743,g189167-d1627369,L'osteria,"[""Europe"", ""Portugal"", ""Madeira Islands"", ""Madeira"", ""Funchal""]",Portugal,Madeira Islands,Madeira,Funchal,"Rua Casa Branca 63 Rua Casa Branca, nº 33, Funchal, Madeira 9000-113 Portugal",32.6394,-16.929796,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014, Certificate of Excellence 2013, Certificate of Excellence 2012, Certificate of Excellence 2011",#94 of 644 Restaurants in Funchal,#101 of 771 places to eat in Funchal,"Mid-range, International, Mediterranean, European",€€-€€€,€10-€30,"Lunch, Dinner, After-hours","Mediterranean, European, Portuguese, International","Vegetarian Friendly, Vegan Options, Gluten Free Options","Wheelchair Accessible, Serves Alcohol, Full Bar, Reservations, Outdoor Seating, Seating, Television, Highchairs Available, Wine and Beer, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service",Y,Y,Y,"{""Mon"": [""11:00-00:00""], ""Tue"": [""11:00-00:00""], ""Wed"": [""11:00-00:00""], ""Thu"": [""11:00-00:00""], ""Fri"": [""11:00-00:00""], ""Sat"": [""11:00-00:00""], ""Sun"": [""11:00-12:00"", ""18:00-21:00""]}",7.0,82.0,8.0,4.5,814.0,English,624.0,413.0,131.0,49.0,18.0,13.0,4.5,4.5,4.5,4.0,"truffle, risotto, duck, steak, sea bass"
1011765,g189167-d1722260,Restaurante Londres,"[""Europe"", ""Portugal"", ""Madeira Islands"", ""Madeira"", ""Funchal""]",Portugal,Madeira Islands,Madeira,Funchal,"Rua Carreira 64A Funchal - São Pedro, Funchal, Madeira 9000-042 Portugal",32.64899,-16.9108,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014, Certificate of Excellence 2013, Certificate of Excellence 2012",#108 of 644 Restaurants in Funchal,#117 of 771 places to eat in Funchal,"Mid-range, Seafood, Mediterranean, European",€€-€€€,€8-€13,"Lunch, Dinner","Seafood, Mediterranean, European, Portuguese","Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Television, Highchairs Available, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Cash Only, Reservations, Seating, Wheelchair Accessible, Accepts Credit Cards, Table Service",Y,Y,Y,"{""Mon"": [""11:45-15:45"", ""18:00-22:00""], ""Tue"": [""11:45-15:45"", ""18:00-22:00""], ""Wed"": [""11:45-15:45"", ""18:00-22:00""], ""Thu"": [""11:45-15:45"", ""18:00-22:00""], ""Fri"": [""11:45-15:45"", ""18:00-22:00""], ""Sat"": [""11:45-15:45"", ""18:00-22:00""], ""Sun"": []}",6.0,48.0,12.0,4.5,1070.0,English,536.0,286.0,180.0,43.0,16.0,11.0,4.5,4.5,4.5,4.0,"broad beans, salad, scabbard fish, bacalhau, calamari"
1011811,g189167-d1863645,O Dragoeiro,"[""Europe"", ""Portugal"", ""Madeira Islands"", ""Madeira"", ""Funchal""]",Portugal,Madeira Islands,Madeira,Funchal,"Rua Casa Branca 43, Funchal, Madeira 9000-113 Portugal",32.638817,-16.930182,Unclaimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014",#54 of 644 Restaurants in Funchal,#59 of 771 places to eat in Funchal,"Mid-range, Mediterranean, European, Healthy",€€-€€€,€14-€71,"Lunch, Dinner, After-hours","Mediterranean, European, Healthy, Portuguese","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",Y,Y,Y,"{""Mon"": [""11:00-00:00""], ""Tue"": [""11:00-00:00""], ""Wed"": [""11:00-00:00""], ""Thu"": [""11:00-00:00""], ""Fri"": [""11:00-00:00""], ""Sat"": [""11:00-00:00""], ""Sun"": [""11:00-00:00""]}",7.0,91.0,7.0,4.5,1457.0,English,895.0,581.0,203.0,74.0,23.0,14.0,4.5,4.5,4.5,4.5,"swordfish, madeira wine, chicken kebab, scabbard fish, prawns"
1011844,g189167-d1954948,Restaurante Chalet,"[""Europe"", ""Portugal"", ""Madeira Islands"", ""Madeira"", ""Funchal""]",Portugal,Madeira Islands,Madeira,Funchal,"Rua Favila 1 3, Funchal, Madeira 9000-021 Portugal",32.64348,-16.92269,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014, Certificate of Excellence 2013",#157 of 644 Restaurants in Funchal,#173 of 771 places to eat in Funchal,"Mid-range, International, Mediterranean, European",€€-€€€,€8-€25,"Lunch, Dinner, After-hours","Mediterranean, European, Portuguese, International","Vegetarian Friendly, Vegan Options, Gluten Free Options","Gift Cards Available, Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",Y,Y,Y,"{""Mon"": [""12:30-23:00""], ""Tue"": [""12:30-23:00""], ""Wed"": [""12:30-23:00""], ""Thu"": [""12:30-23:00""], ""Fri"": [""12:30-23:00""], ""Sat"": [""12:30-23:00""], ""Sun"": [""12:30-23:00""]}",7.0,73.5,7.0,4.0,948.0,English,711.0,326.0,223.0,86.0,51.0,25.0,4.0,4.0,4.5,4.0,"steak, soup, bread, madeira wine, sardines"
1011922,g189167-d2226401,Barreirinha Bar Café,"[""Europe"", ""Portugal"", ""Madeira Islands"", ""Madeira"", ""Funchal""]",Portugal,Madeira Islands,Madeira,Funchal,"Largo do Socorro 9060-291 Santa Maria Maior, Funchal, Madeira 9060-305 Portugal",32.646942,-16.89726,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014, Certificate of Excellence 2013",#1 of 45 Coffee & Tea in Funchal,#38 of 771 places to eat in Funchal,"Cheap Eats, Bar, Cafe, European",€,€2-€7,"Brunch, Drinks, Breakfast, Lunch, Dinner","Bar, Cafe, European","Vegetarian Friendly, Vegan Options","Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Mastercard, Accepts Visa, Cash Only, Free Wifi, Accepts Credit Cards, Table Service, Live Music, Waterfront",Y,Y,N,"{""Mon"": [""09:00-00:00""], ""Tue"": [""09:00-00:00""], ""Wed"": [""09:00-00:00""], ""Thu"": [""09:00-00:00""], ""Fri"": [""10:00-02:00""], ""Sat"": [""10:00-02:00""], ""Sun"": [""09:00-00:00""]}",7.0,107.0,7.0,4.5,877.0,English,495.0,337.0,130.0,13.0,11.0,4.0,4.5,4.5,4.5,4.5,"burger, guacamole, fries, salad, bread"
