,restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords
918,g1024186-d6839181,The Oystercatcher,"[""Europe"", ""France"", ""Brittany"", ""Ille-et-Vilaine"", ""Saint Marcan""]",France,Brittany,Ille-et-Vilaine,Saint Marcan,"7 le Bourg, 35120 Saint Marcan France",48.588,-1.634103,Claimed,"Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#1 of 1 Restaurant in Saint Marcan,#1 of 1 places to eat in Saint Marcan,"Cheap Eats, Bar, British, Pub",€,€3-€8,Dinner,"Bar, British, Pub",Vegetarian Friendly,"Reservations, Outdoor Seating, Seating, Free off-street parking, Television, Serves Alcohol, Full Bar, Wine and Beer, Table Service",Y,N,N,"{""Mon"": [""17:00-20:30""], ""Tue"": [""17:00-20:30""], ""Wed"": [], ""Thu"": [""17:00-20:30""], ""Fri"": [""17:00-20:30""], ""Sat"": [""17:00-20:30""], ""Sun"": [""17:00-20:30""]}",6.0,21.0,6.0,5.0,115.0,English,76.0,67.0,8.0,0.0,1.0,0.0,4.5,5.0,5.0,5.0,"chicken curry, mont saint michel, kevin, beer, accueil"
2328,g1055403-d1059472,La Grand’Vigne,"[""Europe"", ""France"", ""Nouvelle-Aquitaine"", ""Gironde"", ""Martillac""]",France,Nouvelle-Aquitaine,Gironde,Martillac,"Chemin de Smith Haut-Lafitte Les Sources de Caudalie, 33650 Martillac France",44.730804,-0.557221,Claimed,"Travellers' Choice, Michelin 2021 for Two Michelin Stars: Excellent cooking, worth a detour!, Michelin 2021 for Extremely comfortable restaurant.",#1 of 7 Restaurants in Martillac,#1 of 8 places to eat in Martillac,"Fine Dining, French, European, Vegetarian Friendly",€€€€,€75-€130,"Lunch, Dinner","French, European","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reservations, Outdoor Seating, Private Dining, Seating, Parking Available, Validated Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",Y,Y,Y,"{""Mon"": [], ""Tue"": [], ""Wed"": [""19:00-22:00""], ""Thu"": [""19:00-22:00""], ""Fri"": [""19:00-22:00""], ""Sat"": [""12:00-14:00"", ""19:00-22:00""], ""Sun"": [""12:00-14:00"", ""19:00-22:00""]}",5.0,19.0,7.0,4.5,494.0,English,121.0,84.0,23.0,8.0,4.0,2.0,4.5,4.5,4.0,4.5,"tasting menu, in advance, star restaurant, wonderful experience, a la carte menu"
18106,g1310615-d1776484,L'Auberge du Vieux Château,"[""Europe"", ""France"", ""Provence-Alpes-Cote d'Azur"", ""French Riviera - Cote d'Azur"", ""Grasse"", ""Cabris""]",France,Provence-Alpes-Cote d'Azur,French Riviera - Cote d'Azur,Cabris,"Place Mirabeau, 06530 Cabris, Grasse France",43.655304,6.876172,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014",#1 of 7 Restaurants in Cabris,#1 of 10 places to eat in Cabris,"Fine Dining, French, Mediterranean, European",€€€€,€30-€44,"Lunch, Dinner","French, Mediterranean, European","Vegetarian Friendly, Vegan Options","Seating, Parking Available, Street Parking, Validated Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Private Dining, Accepts Credit Cards, Table Service",Y,Y,N,"{""Mon"": [], ""Tue"": [""07:30-15:00"", ""19:00-23:00""], ""Wed"": [""07:30-23:00""], ""Thu"": [""07:30-23:00""], ""Fri"": [""07:30-15:00"", ""19:00-23:00""], ""Sat"": [""07:30-23:00""], ""Sun"": [""07:30-15:00""]}",6.0,77.0,8.0,4.5,660.0,English,140.0,108.0,22.0,8.0,2.0,0.0,4.5,4.5,4.5,4.5,"parfait, lamb, birthday lunch, superb location, wonderful lunch"
18943,g1378922-d943851,Rajpoute,"[""Europe"", ""France"", ""Auvergne-Rhone-Alpes"", ""Ain"", ""Ornex""]",France,Auvergne-Rhone-Alpes,Ain,Ornex,"1553 rue de Geneve, 01210 Ornex France",46.26389,6.102778,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2013",#1 of 5 Restaurants in Ornex,#1 of 5 places to eat in Ornex,"Mid-range, Indian, Pakistani, Vegetarian Friendly",€€-€€€,€12-€18,"Lunch, Dinner, After-hours","Indian, Pakistani","Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Validated Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",Y,Y,Y,"{""Mon"": [""19:00-23:30""], ""Tue"": [""12:00-14:30"", ""19:00-23:30""], ""Wed"": [""12:00-14:30"", ""19:00-23:30""], ""Thu"": [""12:00-14:30"", ""19:00-23:30""], ""Fri"": [""12:00-14:30"", ""19:00-00:00""], ""Sat"": [""12:00-14:30"", ""19:00-00:00""], ""Sun"": [""12:00-15:00"", ""19:00-23:30""]}",7.0,48.0,13.0,4.5,563.0,English,182.0,97.0,52.0,15.0,8.0,10.0,4.5,4.5,4.0,4.0,"bhindi, butter chicken, curries, vindaloo, naan"
20157,g1456920-d2268495,Le Moulin de Varen,"[""Europe"", ""France"", ""Occitanie"", ""Tarn-et-Garonne"", ""Saint-Antonin Noble Val"", ""Varen""]",France,Occitanie,Tarn-et-Garonne,Varen,"Le bourg Le Bourg, 82330 Varen, Saint-Antonin Noble Val France",44.164474,1.900635,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#1 of 2 Restaurants in Varen,#1 of 3 places to eat in Varen,"Mid-range, French, Vegetarian Friendly, Vegan Options",€€-€€€,€19-€50,"Lunch, Dinner, Drinks",French,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Parking Available, Highchairs Available, Full Bar, Reservations, Outdoor Seating, Seating, Street Parking, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service, Free Wifi",Y,Y,Y,"{""Mon"": [""12:00-14:30"", ""19:00-21:30""], ""Tue"": [""12:00-14:30"", ""19:00-21:30""], ""Wed"": [], ""Thu"": [""12:00-14:30"", ""19:00-21:30""], ""Fri"": [""12:00-14:30"", ""19:00-21:30""], ""Sat"": [""12:00-14:30"", ""19:00-21:30""], ""Sun"": [""12:00-14:30""]}",6.0,27.5,11.0,4.5,315.0,English,113.0,92.0,13.0,7.0,1.0,0.0,4.5,4.5,4.5,4.0,"scallops, nougat, mash, guinea fowl, gazpacho"
27899,g187075-d779021,La corde a linge,"[""Europe"", ""France"", ""Grand Est"", ""Bas-Rhin"", ""Strasbourg""]",France,Grand Est,Bas-Rhin,Strasbourg,"2 Place Benjamin Zix Au Coeur de La Petite France, au Bord du Canal, 67000, Strasbourg France",48.58129,7.742319,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2013, Certificate of Excellence 2012",#109 of 973 Restaurants in Strasbourg,#143 of 1461 places to eat in Strasbourg,"Mid-range, French, Bar, European",€€-€€€,€20-€70,"Lunch, Dinner, Brunch, After-hours","French, Bar, European","Vegetarian Friendly, Vegan Options","Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service, Waterfront",Y,Y,N,"{""Mon"": [""10:30-23:00""], ""Tue"": [""10:30-23:00""], ""Wed"": [""10:30-23:00""], ""Thu"": [""10:30-23:00""], ""Fri"": [""10:30-01:00""], ""Sat"": [""10:30-01:00""], ""Sun"": [""10:30-23:00""]}",7.0,91.5,7.0,4.0,3668.0,English,634.0,246.0,283.0,49.0,23.0,33.0,4.0,4.0,3.5,4.0,"meatballs, burger, salad, duck, potatoes"
27942,g187075-d803514,Gavroche,"[""Europe"", ""France"", ""Grand Est"", ""Bas-Rhin"", ""Strasbourg""]",France,Grand Est,Bas-Rhin,Strasbourg,"4 rue Klein Place d'Austerlitz, Pont du Corbeau, 67000, Strasbourg France",48.5786,7.75295,Claimed,"Travellers' Choice, Michelin 2021 for The Michelin Plate: Good cooking, Michelin 2021 for Comfortable restaurant",#18 of 973 Restaurants in Strasbourg,#22 of 1461 places to eat in Strasbourg,"Fine Dining, French, Contemporary, Vegetarian Friendly",€€€€,€38-€100,"Lunch, Dinner","French, Contemporary",Vegetarian Friendly,"Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",Y,N,N,"{""Mon"": [""12:00-13:30"", ""19:30-21:30""], ""Tue"": [""12:00-13:30"", ""19:30-21:30""], ""Wed"": [""12:00-13:30"", ""19:30-21:30""], ""Thu"": [""12:00-13:30"", ""19:30-21:30""], ""Fri"": [""12:00-13:30"", ""19:30-21:30""], ""Sat"": [], ""Sun"": []}",5.0,17.5,10.0,4.5,615.0,English,128.0,101.0,21.0,2.0,2.0,2.0,4.5,4.5,4.5,4.5,"scallops, lemon tart, mise en bouche, course menu, beautiful presentation"
35167,g187116-d1486801,Chez Bruno,"[""Europe"", ""France"", ""Centre-Val de Loire"", ""Indre-et-Loire"", ""Amboise""]",France,Centre-Val de Loire,Indre-et-Loire,Amboise,"40 Place Michel Debre, 37400, Amboise France",47.412796,0.985734,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014, Certificate of Excellence 2013, Certificate of Excellence 2012, Certificate of Excellence 2011",#11 of 69 Restaurants in Amboise,#12 of 86 places to eat in Amboise,"Mid-range, French, European, Healthy",€€-€€€,€9-€23,"Lunch, Dinner, After-hours","French, European, Healthy",Vegetarian Friendly,"Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",Y,N,N,"{""Mon"": [], ""Tue"": [""11:00-21:30""], ""Wed"": [""11:00-21:30""], ""Thu"": [""11:00-21:30""], ""Fri"": [""11:00-21:30""], ""Sat"": [""11:00-21:30""], ""Sun"": []}",5.0,52.5,5.0,4.5,1461.0,English,532.0,284.0,192.0,35.0,8.0,13.0,4.5,4.5,4.0,4.0,"lamb chops, great dinner, wines, vineyard, bistro"
37188,g187137-d800413,Le Millenaire,"[""Europe"", ""France"", ""Grand Est"", ""Marne"", ""Reims""]",France,Grand Est,Marne,Reims,"4 Rue Bertin, 51100, Reims France",49.25618,4.034095,Claimed,"Travellers' Choice, Michelin 2021 for One Michelin Star: High quality cooking, worth a stop!, Michelin 2021 for Very comfortable restaurant",#20 of 374 Restaurants in Reims,#22 of 469 places to eat in Reims,"Fine Dining, French, European, Contemporary",€€€€,€35-€120,"Lunch, Dinner","French, European, Healthy, Contemporary",Vegetarian Friendly,"Takeout, Seating, Wheelchair Accessible, Serves Alcohol, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Private Dining, Accepts Credit Cards, Table Service",Y,N,N,"{""Mon"": [""12:00-13:30"", ""19:30-21:30""], ""Tue"": [""12:00-13:30"", ""19:30-21:30""], ""Wed"": [""12:00-13:30"", ""19:30-21:30""], ""Thu"": [""12:00-13:30"", ""19:30-21:30""], ""Fri"": [""12:00-13:30"", ""19:30-21:30""], ""Sat"": [""19:30-21:30""], ""Sun"": []}",6.0,19.5,11.0,4.5,970.0,English,233.0,135.0,61.0,23.0,13.0,1.0,4.5,4.5,4.0,4.0,"prawns, risotto, pork, between courses, set menu"
57097,g187151-d1218808,Le Saint Jean,"[""Europe"", ""France"", ""Occitanie"", ""Aude"", ""Carcassonne"", ""Carcassonne Center""]",France,Occitanie,Aude,Carcassonne Center,"1 Place Saint Jean La Cité, 11000 Carcassonne Center, Carcassonne France",43.207672,2.363372,Claimed,"Travellers' Choice, Certificate of Excellence 2020",#37 of 237 Restaurants in Carcassonne Center,#38 of 275 places to eat in Carcassonne Center,"Mid-range, French, Mediterranean, European",€€-€€€,€9-€27,"Drinks, Lunch, Dinner, After-hours","French, Mediterranean, European, Healthy",Vegetarian Friendly,"Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service",Y,N,N,"{""Mon"": [""00:00-23:59""], ""Tue"": [""00:00-23:59""], ""Wed"": [""00:00-23:59""], ""Thu"": [""00:00-23:59""], ""Fri"": [""00:00-23:59""], ""Sat"": [""00:00-23:59""], ""Sun"": [""00:00-23:59""]}",7.0,167.88333333333333,7.0,4.0,805.0,English,181.0,65.0,58.0,25.0,19.0,14.0,4.0,3.5,3.5,3.5,"salad, cassoulet, steak, old city, within the walls"
57126,g187151-d1334776,Restaurant Adelaide,"[""Europe"", ""France"", ""Occitanie"", ""Aude"", ""Carcassonne"", ""Carcassonne Center""]",France,Occitanie,Aude,Carcassonne Center,"5 rue Adelaide de Toulouse La Cité, 11000 Carcassonne Center, Carcassonne France",43.208183,2.363714,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2014, Certificate of Excellence 2013, Certificate of Excellence 2012, Certificate of Excellence 2011",#30 of 237 Restaurants in Carcassonne Center,#31 of 275 places to eat in Carcassonne Center,"Mid-range, French, European, Healthy",€€-€€€,€12-€33,"Lunch, Dinner, After-hours","French, European, Healthy",Vegetarian Friendly,"Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",Y,N,N,"{""Mon"": [""12:00-14:30"", ""18:45-21:30""], ""Tue"": [""12:00-14:30"", ""19:00-21:30""], ""Wed"": [""12:00-14:30"", ""19:00-21:30""], ""Thu"": [""12:00-14:30"", ""19:00-21:30""], ""Fri"": [""12:00-14:30"", ""19:00-21:30""], ""Sat"": [""12:00-14:30"", ""19:00-21:30""], ""Sun"": [""12:00-14:30"", ""19:00-21:30""]}",7.0,35.25,14.0,4.0,2351.0,English,686.0,308.0,272.0,65.0,27.0,14.0,4.0,4.5,4.5,4.0,"cassoulet, creme brulee, cod, chicken skewers, salad"
57377,g187152-d2570760,Bar de la Marine,"[""Europe"", ""France"", ""Occitanie"", ""Pyrenees-Orientales"", ""Collioure""]",France,Occitanie,Pyrenees-Orientales,Collioure,"1 quai de l Amiraute Rue Camille Pelletan, 66190 Collioure France",42.52648,3.084588,Claimed,"Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014",#35 of 70 Restaurants in Collioure,#35 of 79 places to eat in Collioure,"Mid-range, French, Seafood, Catalan",€€-€€€,€9-€35,"Lunch, Dinner, Drinks, Brunch","Seafood, French, Catalan",Vegetarian Friendly,"Outdoor Seating, Seating, Street Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service",Y,N,N,"{""Mon"": [""00:00-23:59""], ""Tue"": [""00:00-23:59""], ""Wed"": [""00:00-23:59""], ""Thu"": [""00:00-23:59""], ""Fri"": [""00:00-23:59""], ""Sat"": [""00:00-23:59""], ""Sun"": [""00:00-23:59""]}",7.0,167.88333333333333,7.0,4.0,932.0,English,168.0,90.0,60.0,12.0,3.0,3.0,4.0,4.0,4.0,4.0,"seafood, salad, white wine, menu du jour, souris"
58942,g187154-d3647319,Skab,"[""Europe"", ""France"", ""Occitanie"", ""Gard"", ""Nimes""]",France,Occitanie,Gard,Nimes,"7 rue de la Republique, 30900 Nimes France",43.833206,4.359341,Claimed,"Travellers' Choice, Michelin 2021 for One Michelin Star: High quality cooking, worth a stop!, Michelin 2021 for Very comfortable restaurant",#14 of 452 Restaurants in Nimes,#14 of 527 places to eat in Nimes,"Fine Dining, French, Mediterranean, European",€€€€,€40-€135,"Lunch, Dinner","French, Mediterranean, European, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options","Seating, Highchairs Available, Wheelchair Accessible, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Private Dining, Serves Alcohol, Accepts Credit Cards, Table Service, Gift Cards Available",Y,Y,Y,"{""Mon"": [], ""Tue"": [""12:00-13:30"", ""19:30-21:00""], ""Wed"": [""12:00-13:30"", ""19:30-21:00""], ""Thu"": [""12:00-13:30"", ""19:30-21:30""], ""Fri"": [""12:00-13:30"", ""19:30-21:00""], ""Sat"": [""12:00-13:30"", ""19:30-21:00""], ""Sun"": []}",5.0,15.5,10.0,4.5,732.0,English,57.0,48.0,6.0,0.0,0.0,3.0,5.0,4.5,4.5,4.5,"course tasting menu, ravioli, a michelin star restaurant, inner courtyard, great restaurant"
59816,g187156-d969429,Casa Sansa,"[""Europe"", ""France"", ""Occitanie"", ""Pyrenees-Orientales"", ""Perpignan""]",France,Occitanie,Pyrenees-Orientales,Perpignan,"3, rue des Fabriqués Couverte, 66000, Perpignan France",42.69999,2.894516,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014, Certificate of Excellence 2013",#39 of 418 Restaurants in Perpignan,#42 of 526 places to eat in Perpignan,"Mid-range, French, Healthy, Catalan",€€-€€€,€13-€33,"Lunch, Dinner, After-hours","French, Healthy, Catalan",Vegetarian Friendly,"Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",Y,N,N,"{""Mon"": [], ""Tue"": [""12:00-14:00"", ""19:00-23:00""], ""Wed"": [""12:00-14:00"", ""19:00-23:00""], ""Thu"": [""12:00-14:00"", ""19:00-23:00""], ""Fri"": [""12:00-14:00"", ""19:00-23:00""], ""Sat"": [""12:00-14:00"", ""19:00-23:00""], ""Sun"": []}",5.0,30.0,10.0,4.0,844.0,English,102.0,52.0,37.0,6.0,2.0,5.0,4.0,4.0,4.0,4.0,"gambas, beef stew, poulet, staff were extremely attentive, alley"
65425,g187181-d1056070,Le Pommier Restaurant,"[""Europe"", ""France"", ""Normandy"", ""Basse-Normandie"", ""Calvados"", ""Bayeux""]",France,Normandy,Basse-Normandie,Bayeux,"38-40 Street of Cuisiners, 14400, Bayeux France",49.276333,-0.703632,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2013, Certificate of Excellence 2012",#17 of 78 Restaurants in Bayeux,#18 of 85 places to eat in Bayeux,"Mid-range, French, European, Contemporary",€€-€€€,€25-€35,"Lunch, Dinner, After-hours","Contemporary, Gastropub, French, European","Vegetarian Friendly, Vegan Options, Gluten Free Options","Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Full Bar, Accepts American Express, Accepts Credit Cards, Table Service",Y,Y,Y,"{""Mon"": [""12:00-14:00"", ""19:00-21:00""], ""Tue"": [""12:00-14:00"", ""19:00-21:00""], ""Wed"": [""12:00-14:00"", ""19:00-21:00""], ""Thu"": [""12:00-14:00"", ""19:00-21:00""], ""Fri"": [""12:00-14:00"", ""19:00-21:00""], ""Sat"": [""12:00-14:00"", ""19:00-21:00""], ""Sun"": [""12:00-14:00"", ""19:00-21:00""]}",7.0,28.0,14.0,4.0,1315.0,English,864.0,418.0,283.0,104.0,37.0,22.0,4.0,4.0,3.5,4.0,"apple pie, duck, sea bass, profiteroles, tripe"
65426,g187181-d1075945,Le Moulin De La Galette,"[""Europe"", ""France"", ""Normandy"", ""Basse-Normandie"", ""Calvados"", ""Bayeux""]",France,Normandy,Basse-Normandie,Bayeux,"38 rue de Nesmond Impasse du Moulin de Coisel, 14400, Bayeux France",49.273846,-0.701007,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014, Certificate of Excellence 2013",#8 of 78 Restaurants in Bayeux,#8 of 85 places to eat in Bayeux,"Mid-range, French, European, Healthy",€€-€€€,€10-€30,"Lunch, Dinner","French, European, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options","Outdoor Seating, Seating, Parking Available, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Street Parking, Accepts Credit Cards, Table Service, Waterfront",Y,Y,Y,"{""Mon"": [""12:00-14:30""], ""Tue"": [], ""Wed"": [], ""Thu"": [""12:00-14:30"", ""19:00-21:30""], ""Fri"": [""12:00-14:30"", ""19:00-21:30""], ""Sat"": [""12:00-14:30"", ""19:00-21:30""], ""Sun"": [""12:00-14:30""]}",5.0,20.0,8.0,4.5,1824.0,English,685.0,410.0,203.0,51.0,10.0,11.0,4.5,4.5,4.5,4.5,"galettes, dessert crepes, gallette, ham, burger"
65470,g187181-d2178283,Le Domesday,"[""Europe"", ""France"", ""Normandy"", ""Basse-Normandie"", ""Calvados"", ""Bayeux""]",France,Normandy,Basse-Normandie,Bayeux,"18-20 rue Larcher, 14400, Bayeux France",49.275055,-0.702551,Claimed,"Certificate of Excellence 2018, Certificate of Excellence 2013",#21 of 78 Restaurants in Bayeux,#22 of 85 places to eat in Bayeux,"Mid-range, French, Pizza, European",€€-€€€,€13-€30,"Lunch, Dinner","French, Pizza, European",Vegetarian Friendly,"Highchairs Available, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Discover, Accepts Credit Cards, Table Service, Reservations",Y,N,N,"{""Mon"": [], ""Tue"": [""11:45-14:30"", ""18:45-22:00""], ""Wed"": [""11:45-14:30"", ""18:45-22:00""], ""Thu"": [""11:45-14:30"", ""18:45-22:00""], ""Fri"": [""11:45-14:30"", ""18:45-22:00""], ""Sat"": [""11:45-14:30"", ""18:45-22:00""], ""Sun"": []}",5.0,30.0,10.0,4.0,493.0,English,233.0,95.0,102.0,25.0,1.0,10.0,4.0,4.0,4.0,3.5,"pasta, hamburger, after a long day, bayeux cathedral, ate here"
65968,g187183-d1818317,Café de Paris,"[""Europe"", ""France"", ""Normandy"", ""Basse-Normandie"", ""Manche"", ""Cherbourg-en-Cotentin"", ""Cherbourg-Octeville""]",France,Normandy,Basse-Normandie,Cherbourg-Octeville,"40 Quai Caligny, 50100 Cherbourg-Octeville, Cherbourg-en-Cotentin France",49.63945,-1.621299,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014, Certificate of Excellence 2013",#10 of 84 Restaurants in Cherbourg-Octeville,#10 of 103 places to eat in Cherbourg-Octeville,"Fine Dining, French, Seafood, European",€€€€,€18-€49,"Lunch, Dinner","French, Seafood, European","Vegetarian Friendly, Gluten Free Options","Outdoor Seating, Reservations, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service",Y,N,Y,"{""Mon"": [""19:00-21:30""], ""Tue"": [""11:59-13:45"", ""19:00-21:30""], ""Wed"": [""11:59-13:45"", ""19:00-21:30""], ""Thu"": [""11:59-13:45"", ""19:00-21:30""], ""Fri"": [""11:59-13:45"", ""19:00-21:30""], ""Sat"": [""11:59-13:45"", ""19:00-21:30""], ""Sun"": []}",6.0,23.83333333333333,11.0,4.5,947.0,English,189.0,137.0,37.0,8.0,1.0,6.0,4.5,4.5,4.5,4.0,"seafood, prunes, salmon tartare, pudding, wine list"
66337,g187189-d1403627,Côté Resto,"[""Europe"", ""France"", ""Normandy"", ""Basse-Normandie"", ""Calvados"", ""Honfleur""]",France,Normandy,Basse-Normandie,Honfleur,"8 Place Sainte Catherine, 14600, Honfleur France",49.421345,0.23247,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",#12 of 125 Restaurants in Honfleur,#14 of 165 places to eat in Honfleur,"Mid-range, French, Seafood, European",€€-€€€,€23-€42,"Lunch, Dinner, After-hours","French, Seafood, European, Healthy",Vegetarian Friendly,"Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",Y,N,N,"{""Mon"": [""12:00-14:30"", ""19:00-22:00""], ""Tue"": [""12:00-14:30"", ""19:00-22:00""], ""Wed"": [""12:00-14:30"", ""19:00-22:00""], ""Thu"": [""12:00-14:30"", ""19:00-22:00""], ""Fri"": [""12:00-14:30"", ""19:00-22:00""], ""Sat"": [""12:00-14:30"", ""19:00-22:00""], ""Sun"": [""12:00-14:30"", ""19:00-22:00""]}",7.0,38.5,14.0,4.5,1807.0,English,239.0,123.0,74.0,22.0,12.0,8.0,4.5,4.5,4.0,4.0,"seafood, prawns, bulots, crab, mashed potatoes"
66398,g187189-d2699385,Bacaretto,"[""Europe"", ""France"", ""Normandy"", ""Basse-Normandie"", ""Calvados"", ""Honfleur""]",France,Normandy,Basse-Normandie,Honfleur,"44 rue de la chaussee, 14600, Honfleur France",49.418495,0.23365,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014",#10 of 125 Restaurants in Honfleur,#12 of 165 places to eat in Honfleur,"Mid-range, French, Wine Bar, Vegetarian Friendly",€€-€€€,€10-€45,"Dinner, After-hours, Drinks","French, Wine Bar",Vegetarian Friendly,"Reservations, Seating, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Accepts Credit Cards, Table Service",Y,N,N,"{""Mon"": [], ""Tue"": [""19:30-22:00""], ""Wed"": [""19:30-20:00""], ""Thu"": [""19:30-22:00""], ""Fri"": [""19:30-22:00""], ""Sat"": [""19:30-22:00""], ""Sun"": [""19:30-22:00""]}",6.0,13.0,6.0,4.5,338.0,English,61.0,41.0,13.0,4.0,2.0,1.0,4.5,4.5,4.5,4.5,"cheese plate, crepes, charcuterie, potatoes, tripe"
